Name,State,Electorate,Party,ScreenName,Gender,Comments
Julia Banks,Victoria,Flinders,Ind,juliabanksmp,,
Daniel Mulino,Victoria,Fraser,Labor,Mulino4Fraser,,
Tim Watts,Victoria,Gellibrand,Labor,TimWattsMP,,
Lisa Bentley,Victoria,Gellibrand,UAP,BentleyMaree,,
Darren Chester,Victoria,Gippsland,Nat,DarrenChesterMP,,
Tim Wilson,Victoria,Goldstein,Lib,TimWilsonMP,,
Brendan O'Connor,Victoria,Gorton,Labor,BOConnorMP,,
Fiona McLeod,Victoria,Higgins,Labor,FiMcLeodSC,,
Katie Allen,Victoria,Higgins,Lib,Katie4Higgins,,
Jason Ball,Victoria,Higgins,Greens,jasonballau,,
Anthony Byrne,Victoria,Holt,Labor,AnthonyByrne_MP,,
Clare O'Neil,Victoria,Hotham,Labor,ClareONeilMP,,
George Hua,Victoria,Hotham,Lib,georgejhua,,
Eric Kerr,Victoria,Indi,Labor,EricKerrforIndi,,
Mark Byatt,Victoria,Indi,Nat,Byatt4Indi,,
Helen Haines,Victoria,Indi,Ind,HelenHaines1,,
Mark Dreyfus,Victoria,Isaacs,Labor,markdreyfusQCMP,,
Bronwyn Currie,Victoria,Isaacs,AJP,BronCurrieAJP,,
Paul Kennedy,Victoria,Jagajaga,Greens,paulwkennedy,,
Maria Rigoni,Victoria,Jagajaga,UAP,MariaRigoni_,,
Jana Stewart,Victoria,Kooyong,Labor,JanaforKooyong,,
Josh Frydenberg,Victoria,Kooyong,Lib,JoshFrydenberg,,
Julian Burnside,Victoria,Kooyong,Greens,JulianBurnside,,
Oliver Yates,Victoria,Kooyong,Ind,_Oliver_Yates,,
Steven D'Elia,Victoria,Kooyong,UAP,StevenDElia,,
Simon Curtis,Victoria,La Trobe,Labor,simonforlatrobe,,
Jason Wood,Victoria,La Trobe,Lib,JasonWood_MP,M,
Duncan Dean,Victoria,La Trobe,UAP,duncandean,,
Joanne Ryan,Victoria,Lalor,Labor,JoanneRyanLalor,,
Josh Burns,Victoria,Macnamara,Labor,josh4macnamara,,
Kate Ashmor,Victoria,Macnamara,Lib,KateAshmor,,
Steph-Hodgins May,Victoria,Macnamara,Greens,vote1steph,,
Leigh Firman,Victoria,Mallee,Sci,FirmanLeigh,,
Ray Kingston,Victoria,Mallee,Ind,MalleeRay,,
Cecila Moar,Victoria,Mallee,Ind,CeciliaMoar,,
Jason Modica,Victoria,Mallee,Ind,modica4mallee,,
Rick Millar,Victoria,Mallee,UAP,RickMillar4,,
Bill Shorten,Victoria,Maribyrnong,Labor,billshortenmp,,
James Williams,Victoria,Maribyrnong,Greens,JamesWGreens,,
Rob Mitchell,Victoria,McEwen,Labor,RobMitchellMP,,
Neil Barker,Victoria,McEwen,Greens,nkbarker,,
Chris Hayman,Victoria,McEwen,UAP,Hayman1Hayman,,
Luke Creasey,Victoria,Melbourne,Labor,CreaseyLuke,,
Adam Bandt,Victoria,Melbourne,Greens,AdamBandt,,
Stella Yee,Victoria,Menzies,Labor,Stella4Menzies,,
Kevin Andrews,Victoria,Menzies,Lib,kevinandrewsmp,,
Jessica O'Donnell,Victoria,Monash,Labor,CrODonnell,,
Russell Broadbent,Victoria,Monash,Lib,BroadbentMP,,
William Hornstra,Victoria,Monash,Greens,ThePoliticsNut,,
Michael Fozard,Victoria,Monash,Ind,fozard_michael,,
Bill Lodwick,Victoria,Nicholls,Labor,billlodwick4mp,,
Damian Drum,Victoria,Nicholls,Nat,damiandrummp,,
Andrew Bock,Victoria,Nicholls,Ind,Bock4Nicholls,,
Andrew Giles,Victoria,Scullin,Labor,andrewjgiles,,
Yassin Akram Albarri,Victoria,Scullin,Ind,YAAlbarri,,
Rod Whitfield,Victoria,Scullin,AJP,Rod_Whitfield,,
Maurice Billi,Victoria,Wannon,Labor,mauricebilli,,
Dan Tehan,Victoria,Wannon,Lib,DanTehanWannon,,
Peter Khalil,Victoria,Wills,Labor,PeterKhalilMP,,
